Magic Show,Electric Owls,https://open.spotify.com/track/0ZDUVdfOGSYQP21BO939Wo,Ain't Too Bright,Magic Show,Electric Owls
Condemned,In The Nursery,https://open.spotify.com/track/5WiC04EsfVfczmfQpRLMlS,The Passion of Joan of Arc,Condemned,In The Nursery
Foot Print,Xavier Rudd,Not Found,Not Found,Not Found,Not Found
Sail,Awolnation,https://open.spotify.com/track/7ueP5u2qkdZbIPN2YA6LR0,Megalithic Symphony,Sail,AWOLNATION
Classic (Inst),The Beatards,Not Found,Not Found,Not Found,Not Found
Mouthful of Diamonds,Phantogram,https://open.spotify.com/track/2YvQY4h5KBhgF34YpNcz0z,Eyelid Movies,Mouthful of Diamonds,Phantogram
Mandala,Kerry Muzzey,Not Found,Not Found,Not Found,Not Found
Virgin,Manchester Orchestra,https://open.spotify.com/track/3B76M4dKWsTGBso062Ar0a,Simple Math,Virgin,Manchester Orchestra
Gold As The Color,Los Halos,https://open.spotify.com/track/5fWrJrtxg0Guri4wkCui2J,For Ramona...,Gold as the Color,Los Halos
Super Jam (Flow Dynamics Remix),All Good Funk Alliance,Not Found,Not Found,Not Found,Not Found
Let Spirits Ride,Black Mountain,https://open.spotify.com/track/2C0iPXksgnqHmrAHBcJbzf,Wilderness Heart,Let Spirits Ride,Black Mountain
Rising Tide,Mark Petrie,Not Found,Not Found,Not Found,Not Found
Punching In a Dream,The Naked and Famous,https://open.spotify.com/track/5PtEpuVX03k9bOUwilL5EO,"Passive Me, Aggressive You",Punching In A Dream,The Naked And Famous
Daisy,Fang Island,https://open.spotify.com/track/59LRKSZjgNddf2e0fhiwbB,Fang Island,Daisy,Fang Island
